ID,VO_STR,RXN
VO_0003936,GARDASIL Prefilled Syringe,798277
VO_0001370,formalin-killed vaccine,
VO_0005165,AG0301-COVID19,
VO_0002335,Bovine Rhinotracheitis Vaccine-Leptospira Hardjo-Pomona Bacterin,
VO_0002893,Salmonella Typhimurium htrA mutant vaccine,
VO_0011455,Dengue Vaccine using Vaccinia Virus expressing M Protein,
VO_0005128,UV-Inactivated SARS + TLR agonist vaccine,
VO_0001091,Poulvac FluFend I AI H5N3 RG,
VO_0007636,MAGE-A3 + AS15 vaccine,
VO_0007104,Recombinant Vaccinia-Mgp100 Vaccine,
VO_0002799,Aeromonas hydrophila aroA mutant vaccine,
VO_0003369,Neisseria meningitidis serogroup B recombinant LP2086 B01 protein variant antigen 0.12 MG/ML,1593131
VO_0001744,Canine Coronavirus Killed Virus Vaccine (USDA: 14P5.21),
VO_0002087,"Bursal Disease-Newcastle Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12P5.41)",
VO_0005338,SCTV01C,
VO_0011506,WEEV Subunit E2 Protein Vaccine,
VO_0002326,avian encephalomyelitis-fowl pox vaccine,
VO_0002937,Yersinia enterocolitica ompR mutant vaccine,
VO_0003096,Ditanrix,
VO_0003642,Fluzone Quadrivalent 2017-2018 vaccine Injection,1928315
VO_0011388,Rickettsia rickettsii vaccine using M. vaccae expressing R. rickettsii OmpA Protein,
VO_0002149,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass Type, Live Virus Vaccine (USDA: 1761.12)",
VO_0000510,nontypeable H. influenzae rTbpB vaccine,
VO_0004240,Synthetic OMP1 Vaccine,
VO_0004211,West Nile Virus DNA Vaccine (USDA: 1995.D0),
VO_0007190,"12MP, 12MP/Tet, 12MP/6MHP, or 6MHP Vaccine",
VO_0012165,Infectious Hematopoietic Necrosis Virus vaccine,
VO_0001673,Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.11),
VO_0005448,"respiratory syncytial virus immune globulin passive vaccine, intravenous",
VO_0001542,Feline immunodeficiency virus Killed Virus Vaccine (USDA: 15A5.21),
VO_0003550,Alphaproteobacteria vaccine,
VO_0007440,HCV DNA Vaccine INO-8000,
VO_0002442,Infectious Salmon Anemia Virus Vaccine-Aeromonas Salmonicida-Vibrio Anguillarum-Ordalii-Salmonicida Bacterin,
VO_0003827,Hepatitis A Vaccine (Inactivated) Strain HM175 1440 UNT/ML [Havrix],798365
VO_0003195,Acetone-Dried Typhoid Vi Polysaccharide vaccine,
VO_0005170,GX-19,
VO_0002334,Bovine Rhinotracheitis Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin,
VO_0002895,Salmonella Typhimurium IppA/IppB/msbB,
VO_0004630,AdC68- rabies virus glycoprotein,
VO_0005129,UV-Inactivated SARS vaccine,
VO_0001247,AREPANRIX H1N1,
VO_0007637,MAGE-A3-genetically modified lymphocyte vaccine,
VO_0007105,Recombinant Vaccinia-Multiepitope Melanoma Peptides-B7.1-B7.2 Vaccine,
VO_0004606,Aeromonas hydrophila LSA34 vector vaccine WED/pUTDgap,
VO_0003350,meningococcal group B vaccine Prefilled Syringe,1593133
VO_0001120,Bovilis Neoguard,
VO_0002088,"Bursal Disease-Newcastle Disease-Reovirus Standard & Variant, Killed Virus Vaccine (USDA: 12P5.E0)",
VO_0005343,COVID-19 subunit vaccine by PT Bio Farma,
VO_0000954,Intervet Avian Influenza virus vaccine,
VO_0004419,H. rhabdovirus DNA vaccine pHRV-G encoding HIRRV and VHSV G proteins,
VO_0002328,avian encephalomyelitis-fowl pox-Mycoplasma gallisepticum vaccine,
VO_0002938,Yersinia enterocolitica sodA mutant vaccine,
VO_0003116,TD-Rix,
VO_0003644,Fluzone Quadrivalent 2017-2018 vaccine Injectable Suspension,1928356
VO_0011389,Rickettsia DNA Vaccine encoding OmpB Protein boosted with Recombinant OmpB,
VO_0010730,Pediacel,
VO_0002150,"Newcastle-Bronchitis B1 Type, B1 Strain, Conn Type, Live Virus Vaccine (USDA: 1761.13)",
VO_0000558,recombinant nontypeable H. influenzae protein P6 with AdDP,
VO_0004554,C. trachomatis DNA vaccine pWRG7079::MOMP,
VO_0004415,West Nile virus DNA vaccine pCBWN encoding prM and E,
VO_0007191,27-35(27L):MART-1 Peptide Vaccine,
VO_0000025,Brucella vaccine,
VO_0001674,Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.13),
VO_0000433,vaccinia virus vaccine,
VO_0001543,Feline immunodeficiency virus Killed Virus Vaccine (USDA: 15A5.23),
VO_0007448,HPV DNA plasmids therapeutic vaccine VGX-3100,
VO_0002320,Infectious Salmon Anemia Virus Killed Virus Vaccine-Aeromonas Salmonicida-Vibrio Anguillarum-Ordalii-Salmonicida Bacterin (USDA: 4A45.20),
VO_0003830,HAVRIX Injection,1658059
VO_0003268,Infanrix Quinta,
VO_0005172,INO-4800,
VO_0002333,Bovine Rhinotracheitis Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae- Pomona Bacterin,
VO_0002897,Salmonella Typhimurium IppB/msbB mutant vaccine,
VO_0004639,ALVAC-rabies,
VO_0005131,VRP-SARS-N vaccine,
VO_0001248,Intanza,
VO_0007638,MCMV-TRP2 vaccine,
VO_0007106,Recombinant Vaccinia-TRP1 Vaccine,
VO_0004811,Recombinant Aeromonas hydrophila vaccine (Aera),
VO_0000724,cytomegalovirus vaccine,
VO_0000935,Sarcocystis neurona vaccine,
VO_0003199,"Bordetella pertussis pertactin vaccine, inactivated",1300380
VO_0004009,N. caninum NcPDI Protein Vaccine,
VO_0001746,"Canine Influenza H3N8, Killed Virus Vaccine (USDA: 15K5.20)",
VO_0005345,PIKA Recombinant COVID-19 Vaccine,
VO_0003890,Flublok 2016-2017,
VO_0002483,horse Encephalomyelitis-Influenza-West Nile Virus vaccine,
VO_0002030,"Avian Encephalomyelitis-Fowl Pox-Mycoplasma Gallisepticum Live Fowl Pox Vector, Live Virus Vaccine (USDA:1D61.R0)",
VO_0004567,H. rhabdovirus DNA Vaccine encoding N and G,
VO_0006064,SARS-COV-2 (COVID-19) vaccine mRNA spike protein LNP preservative free 50 mcg/0.5 mL dose,
VO_0004627,L. T -PpSP15,
VO_0011503,Y. enterocolititica Subunit V Antigen Protein Vaccine,
VO_0003645,Fluzone Quadrivalent 2017-2018 vaccine Prefilled Syringe,1928331
VO_0000307,KKF24,
VO_0002151,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass & Conn Types, Live Virus Vaccine (USDA: 1761.14)",
VO_0000656,Mumps virus vaccine,
VO_0000614,Nontypeable H. influenzae protein P6 with cholera toxin,
VO_0004712,rMV- WNV,
VO_0007192,851B Gel Vaccine,
VO_0000108,Brucella abortus vaccine,
VO_0001675,Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.14),
VO_0000004,ActHIB,
VO_0001545,Feline Leukemia Killed Virus Vaccine (USDA: 1555.20),
VO_0007455,HPV E6/E7 DNA Vaccine GX-188E,
VO_0003833,Havrix Prefilled Syringe,798478
VO_0002460,Parvovirus Vaccine-Erysipelothrix Rhusiopathiae-Leptospira Bratislava-Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin,
VO_0003315,Infanrix Tetra,
VO_0005174,bacTRL-Spike,
VO_0002900,Salmonella Typhimurium ompD/nmpC mutant vaccine,
VO_0004651,BV-RVG/RVG,
VO_0005132,rVV-SARS vaccine,
VO_0002980,Influenza virus CTA1-3M2e-DD protein vaccine,
VO_0007640,Melacine,
VO_0007121,Vaccinia-GM-CSF Vaccine,
VO_0000729,Herpes simplex virus vaccine,
VO_0003200,"Bordetella pertussis toxoid vaccine, inactivated",1300186
VO_0004010,N. caninum NcDG1 protein vaccine,
VO_0005505,vaccine by platform type,
VO_0001752,Parvovirus Killed Virus Vaccine (USDA: 18P5.20),
VO_0002141,"Fowl Laryngotracheitis-Marek's Disease Serotype 3, Live Marek's Disease Vector Vaccine (USDA: 16J1.R1)",
VO_0002115,"Encephalomyelitis-Influenza-West Nile Virus Eastern & Western, Killed Virus Vaccine (USDA: 13W5.20)",
VO_0005350,naNO-COVID,
VO_0002382,Bursal Disease-Mareks Disease Vaccine,
VO_0004583,H. rhabdovirus DNA Vaccine encoding G,
VO_0006065,SARS-COV-2 (COVID-19) vaccine mRNA spike protein LNP preservative free pediatric 25 mcg/0.25 mL dose,
VO_0004867,MENHIBRIX vaccine 0.5 ML Injection,1437916
VO_0003652,Fluzone Quadrivalent 2018-2019 vaccine Injection,2050781
VO_0001880,Bovine Rhinotracheitis Modified Live Virus Vaccine-Leptospira Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4019.00),
VO_0002152,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass & Conn Types, Live Virus Vaccine (USDA: 1761.15)",
VO_0000736,Measles-Mumps vaccine,
VO_0004720,rVCG- Chlamydia-cholera,
VO_0000308,F. tularensis vaccine LVS LPS,
VO_0000628,E. coli subunit vaccine,
VO_0001225,Brucella abortus DNA vaccine,
VO_0007193,Abagovomab,
VO_0001676,Fowl Laryngotracheitis Modified Live Virus Vaccine (USDA: 1601.15),
VO_0000005,Adacel,605718
VO_0001546,Feline Leukemia Killed Virus Vaccine (USDA: 1555.21),
VO_0000952,Dhori virus vaccine,
VO_0005494,renal cancer vaccine,
VO_0002321,Parvovirus Killed Virus Vaccine-Erysipelothrix Rhusiopathiae-Leptospira Bratislava-Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4BC5.20),
VO_0003848,IPOL vaccine Injectable Solution,763106
VO_0003442,Acel-Imune,
VO_0005183,CORVax12,
VO_0002902,Salmonella Typhimurium ompR mutant vaccine,
VO_0004693,RCN-rabies-G,
VO_0005138,CRT-N SARS vaccine,
VO_0002981,Influenza virus NS1 mutant vaccine,
VO_0007641,Melan-A/Mart-1 vaccine,
VO_0007122,Vaccinia-Tyrosinase Vaccine,
VO_0004671,SL3261-L. major,
VO_0000730,Marek disease vaccine,
VO_0002865,CVD 908-htrA,
VO_0004163,"N. caninum DNA vaccine encoding NcSAG1 and NcSRS2, combined with recombinant NcSAG1 and NcSRS2 Proteins",
VO_0001753,Parvovirus Killed Virus Vaccine (USDA: 18P5.21),
VO_0005351,IN-B009,
VO_0002142,"Fowl Laryngotracheitis-Marek's Disease Serotypes 2 & 3, Modified Live & Live Marek's Disease Vector Vaccine (USDA: 16J1.R2)",
VO_0002424,"horse encephalomyelitis EEV, VEV, and WEV combination vaccine",
VO_0002031,"Bursal Disease-Marek's Disease Variant, Serotypes 2 & 3, Live Virus Vaccine (USDA: )",
VO_0002976,Human metapneumovirus G protein mutant vaccine,
VO_0006066,SARS-COV-2 (COVID-19) vaccine mRNA spike protein LNP preservative free pediatric 50 mcg/0.5 mL dose,
VO_0004731,ALVAC-WNV-prM/E,
VO_0003203,"Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML",1300380
VO_0003654,Fluzone Quadrivalent 2018-2019 vaccine Injectable Suspension,2050787
VO_0001515,Bluetongue virus vaccine,
VO_0001881,Bovine Rhinotracheitis Modified Live Virus Vaccine-Leptospira Grippotyphosa-Hardjo-Pomona Bacterin (USDA: 4059.00),
VO_0002153,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass & Conn Types, Live Virus Vaccine (USDA: 1761.17)",
VO_0004722,rVCG- MOMP/HSV-2-gD,
VO_0000339,F. tularensis vaccine FSC043,
VO_0000768,Salmonella vaccine,
VO_0001156,avian pathogenic E. coli vaccine,
VO_0007214,Ag NY-ESO-1 Vaccine,
VO_0000709,Brucella melitensis vaccine,
VO_0001547,Feline Leukemia Killed Virus Vaccine (USDA: 1555.22),
VO_0000985,fowl pox vaccine,
VO_0001176,inactivated influenza vaccine,
VO_0007456,Human Prostate-Specific Membrane Antigen Plasmid DNA Vaccine,
VO_0002322,Parvovirus Killed Virus Vaccine-Erysipelothrix Rhusiopathiae-Leptospira Bratislava-Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4BC5.21),
VO_0003861,1 ML Imovax 2.5 UNT/ML Injection,
VO_0000018,Brucella abortus DNA vaccine pcDNA-SOD,
VO_0005186,Covigenix VAX-001,
VO_0002904,Salmonella Typhimurium poxA mutant vaccine,
VO_0004728,ALVAC-RV,
VO_0005139,rSARS-CoV-ΔE vaccine,
VO_0000363,licensed vaccine,
VO_0003215,Seasonal Influenza A27:H29 vaccine,
VO_0007647,Oral Bacille Calmette-Guerin for malignant melanoma vaccine,
VO_0005491,mesothelioma cancer vaccine,
VO_0002506,Edwardsiella tarda vaccine,
VO_0003006,Leishmania infantum HSP70 II mutant vaccine,
VO_0000958,Herpes simplex virus type 1 vaccine,
VO_0002883,Salmonella Typhi galE mutant vaccine,
VO_0004164,N. caninum MIC10 and p24 protein vaccine,
VO_0001760,Rabies Killed Virus Vaccine (USDA: 1905.20),
VO_0002116,"Encephalomyelitis Eastern & Western, Killed Virus Vaccine (USDA: 1475.00)",
VO_0005395,DoCo-Pro-RBD-1 + MF59,
VO_0002448,chicken Mareks disease-tenosynovitis vaccine,
VO_0000461,avian influenza vaccine,
VO_0002977,Human metapneumovirus M2-2 mutant vaccine,
VO_0006069,SARS-COV-2 COVID-19 mRNA bivalent original/Omicron BA.1 Non-US Vaccine Product (Comirnaty Bivalent) Pfizer-BioNTech,
VO_0005130,VRP-MERS-N vaccine,
VO_0003204,"Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML",1300185
VO_0003655,Fluzone Quadrivalent 2018-2019 Vaccine Prefilled Syringe,2050775
VO_0011426,C. psittaci DNA vaccine pcDNA1/MOMP,
VO_0002154,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass Type, Live Virus Vaccine (USDA: 1761.18)",
VO_0000431,rLm/iglC,
VO_0000458,E. coli LB-T vaccine,
VO_0000671,Salmonella typhi vaccine,
VO_0001226,Brucella melitensis DNA vaccine,
VO_0007215,AIM2(-1)/HT001(-1)/TAF1B(-1) Frameshift Peptide Vaccine,
VO_0000006,Afluria,
VO_0001548,Feline Leukemia Killed Virus Vaccine (USDA: 1555.R1),
VO_0001463,Fowlpox virus vaccine,
VO_0007457,Mouse Prostate-Specific Membrane Antigen Plasmid DNA Vaccine,
VO_0002323,Parvovirus Killed Virus Vaccine-Erysipelothrix Rhusiopathiae-Leptospira Bratislava-Canicola-Grippotyphosa-Hardjo-Icterohaemorrhagiae-Pomona Bacterin (USDA: 4BC5.22),
VO_0003958,Infanrix Injectable Product,1172748
VO_0000321,"Brucella abortus DNA vaccine encoding BCSP31, SOD and L7/L12",
VO_0005230,COVID-eVax,
VO_0002908,Salmonella Typhimurium rpoS mutant vaccine,
VO_0004762,rLSDV-Rabies-gP,
VO_0005146,VRC-SRSDNA015-00-VP vaccine,
VO_0003495,influenza vaccines,
VO_0007648,OVA-TEXO vaccine,
VO_0007124,Recombinant Adenovirus-hIFN-beta Vaccine,
VO_0000031,MenHibrix,1437912
VO_0004066,L. infantum SMT Protein Vaccine,
VO_0012168,Herpes simplex virus type 1 and 2 vaccine,
VO_0002903,Salmonella Typhi phoP mutant vaccine,
VO_0004648,RB51-SRS2,
VO_0001761,Rabies Killed Virus Vaccine (USDA: 1905.21),
VO_0002127,"Encephalomyelitis-West Nile Virus Eastern & Western, Killed Virus Vaccine (USDA: 14W5.22)",
VO_0002146,"Marek's Disease-Tenosynovitis Serotypes 2 & 3, Live & Modified Live Virus Vaccine (USDA: 16T1.00)",
VO_0005400,Prime-2-CoV-Beta,
VO_0002329,avian influenza-fowl pox vaccine,
VO_0001882,Bovine Rhinotracheitis Modified Live Virus Vaccine-Leptospira Hardjo-Pomona Bacterin (USDA: 4069.20),
VO_0002978,Human Respiratory Syncytial Virus M2-2 mutant vaccine,
VO_0003316,Menitorix,
VO_0004122,BCG auxotroph expressing HIV-1 clade immunogen,
VO_0003609,Fluzone Quadrivalent 2013-2014 Formula Influenza Virus Vaccine Prefilled Syringe,1427038
VO_0003205,"Bordetella pertussis pertactin vaccine, inactivated 0.005 UNT/ML",1300365
VO_0004202,C. muridarum Tarp subunit vaccine,
VO_0010744,Typherix,
VO_0002155,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass Type, Live Virus Vaccine (USDA: 1761.19)",
VO_0002840,Francisella tularensis capB mutant vaccine,
VO_0000963,E. coli toxoid vaccine,
VO_0001169,E. coli DNA vaccine,
VO_0007255,Ankara (MVA) and ALVAC(2) Vaccine,
VO_0001677,Fowl Pox Live Virus Vaccine (USDA: 1621.00),
VO_0000014,Biothrax,404894
VO_0000389,Feline panleukopenia virus vaccine,
VO_0007483,gp100 and GM-CSF DNA/Gold Vaccine,
VO_0002499,Influenza A (H1N1) 2009 Monovalent Vaccine (IDB),
VO_0003990,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Infanrix]",
VO_0000374,divalent DNA B. abortus vaccine using L7/L12 and Omp16,
VO_0001074,Babesia canis vaccine,
VO_0005231,COVIGEN,
VO_0002909,Salmonella Typhimurium ruvB mutant vaccine,
VO_0004766,rORFV-RabG,
VO_0005147,SARS NDV-BC/S vaccine,
VO_0004281,Fluad,
VO_0007649,"procarbazine, dactinomycin, velba vaccine",
VO_0007130,Ovapuldencel-T Vaccine,
VO_0004860,MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y,314725
VO_0006018,herpes simplex virus type 2 vaccine,
VO_0006082,Typhoid conjugate vaccine (non-US),
VO_0004649,RB51--MIC3/GRA6/MIC1/SRS2,
VO_0001762,Rabies Killed Virus Vaccine (USDA: 1905.22),
VO_0002420,equine EEV and WEV encephalomyelitis vaccine-tetanus toxoid,
VO_0005404,VXS-1223,
VO_0004579,HRSV DNA vaccine DRF-412,
VO_0002032,"Avian Influenza-Fowl Pox H5 Subtype, Live Fowl Pox Vector Vaccine (USDA: 1061.R0)",
VO_0001883,Bovine Rhinotracheitis Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4089.00),
VO_0001154,B. abortus HSA-L7/L12,
VO_0004123,M. tuberculosis DNA vaccine pAK4-sod,
VO_0004207,"Bordetella pertussis pertactin vaccine, inactivated 0.005 MG/ML",1300365
VO_0003614,Fluzone Quadrivalent 2014-2015 Formula Prefilled Syringe,1537559
VO_0004257,"C. muridarum PmpG-1, PmpE/F-2, and MOMP Proteins Vaccine",
VO_0002156,"Newcastle-Bronchitis B1 Type, B1 Strain, Conn Type, Live Virus Vaccine (USDA: 1761.1A)",
VO_0000727,Herpesvirus vaccine,
VO_0002841,Francisella tularensis clpB mutant vaccine,
VO_0000966,recombinant vaccine vector E. coli vaccine,
VO_0007261,Anti-GnRH Vaccine PEP223,
VO_0005426,colorectal cancer vaccine,
VO_0001678,Fowl Pox Live Virus Vaccine (USDA: 1621.10),
VO_0000015,Boostrix,583411
VO_0001550,Feline Panleukopenia Killed Virus Vaccine (USDA: 1565.20),
VO_0007518,Melanoma DNA vaccine TA2M(TM) encoding tyrosinase peptides,
VO_0003070,Flucelvax Quadrivalent,
VO_0003977,KINRIX vaccine Prefilled Syringe,830556
VO_0000385,Brucella abortus DNA vaccine encoding L7/L12 and P39,
VO_0005322,AG0302-COVID19,
VO_0006021,Human Rabies vaccine from human diploid cell culture,
VO_0005148,SARS NDV-VF/S vaccine,
VO_0004015,Influenza virus DNA vaccine encoding HA from Influenza A virus (A/Hong Kong/1/68(H3N2)),
VO_0004197,pcDNA3-LiP0,
VO_0007650,Pulmonary BCG immunotherapy for malignant melanoma vaccine,
VO_0007132,Ovarian Cancer Stem Cell/hTERT/Survivin mRNAs-loaded Autologous Dendritic Cell Vaccine,
VO_0015063,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797629
VO_0006083,typhoid vaccine parenteral acetone-killed dried (U.S. military),
VO_0005800,N. caninum Killed Protozoa Vaccine,
VO_0001763,Rabies Killed Virus Vaccine (USDA: 1905.23),
VO_0005406,Betuvax-CoV2,
VO_0000541,"equine EEV, VEE & WEV encephalomyelitis-tetanus toxoid",
VO_0004580,HRSV DNA vaccine pND-G,
VO_0002033,Avian Encephalomyelitis-Fowl Pox Live Virus Vaccine (USDA: 10M1.10 ),
VO_0003206,"Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML",1300366
VO_0001175,B. abortus L7/L12 fused to MBP,
VO_0003231,0.5 ML Hepatitis B Surface Antigen Vaccine 0.04 MG/ML Injection [Heplisav-B],1994352
VO_0011437,C. muridarum RplF protein vaccine,
VO_0002157,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass Type, Live Virus Vaccine (USDA: 1762.11)",
VO_0000669,Varicella-zoster virus vaccine,
VO_0002842,Francisella tularensis FTL0552 mutant vaccine,
VO_0000975,uropathogenic E. coli vaccine,
VO_0007262,Anti-idiotype MUC-1 Monoclonal Antibody Vaccine,
VO_0005489,colon cancer vaccine,
VO_0001679,Fowl Pox Live Virus Vaccine (USDA: 1621.11),
VO_0000066,JE-Vax,
VO_0001021,live attenuated feline panleukopenia virus vaccine,
VO_0007528,Mouse gp100 Plasmid DNA Vaccine,
VO_0003071,FluLaval Quadrivalent,
VO_0003979,KINRIX vaccine Injection,1657887
VO_0000421,Brucella abortus pcDNA-BLS,
VO_0005340,VB10.2129,
VO_0000506,vaccine organism,
VO_0006045,rabies vaccine for intradermal injection,
VO_0005149,rDNA-expressed S SARS protein vaccine,
VO_0004016,Influenza virus DNA vaccine encoding HA from Influenza A virus (A/environment/Hong Kong/156/1997(H5N1)),
VO_0004198,VVr expressing L. infantum P36/LACK,
VO_0007133,Ovarian Tumor Antigen-activated Autologous Dendritic Cell Vaccine,
VO_0015067,Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797631
VO_0001366,Caprine herpesvirus type 1 vaccine,
VO_0006084,typhoid vaccine parenteral other than acetone-killed dried,
VO_0011563,N. caninum NcMIC1 Protein Subunit Vaccine,
VO_0001884,Bovine Rhinotracheitis Modified Live Virus Vaccine-Leptospira Pomona Bacterin (USDA: 4089.20),
VO_0001764,Rabies Killed Virus Vaccine (USDA: 1905.24),
VO_0005412,V-01-351/V-01D Bivalence Vaccine,
VO_0004802,HDAd-sFsyn,
VO_0002034,Avian Encephalomyelitis-Fowl Pox Live Virus Vaccine (USDA: 10M1.11),
VO_0002431,"horse EEV, VEV, WEV encephalomyelitis-West Nile Virus Vaccine-Tetanus Toxoid",
VO_0006040,Novel influenza-H1N1-09 preservative-free injectable,
VO_0003207,"Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML",1300381
VO_0003967,HEPLISAV-B 20 MCG per 0.5 ML Prefilled Syringe,2050059
VO_0011453,C. muridarum MOMP protein vaccine,
VO_0002158,"Newcastle-Bronchitis B1 Type, B1 Strain, Conn Type, Live Virus Vaccine (USDA: 1762.13)",
VO_0000419,Varicella-zoster virus live vaccine,
VO_0002843,Francisella tularensis FTT0918 mutant vaccine,
VO_0000976,extraintestinal pathogenic E. coli vaccine,
VO_0004425,Cancer DNA vaccine p.DOM-AH1 encoding fragment C,
VO_0007263,Anti-Idiotype Specified Monoclonal Antibody Vaccine,
VO_0001680,Fowl Pox Live Virus Vaccine (USDA: 1621.13),
VO_0000067,Kinrix,801721
VO_0001551,Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.00),
VO_0007198,Adenovector-transduced AP1903-inducible MyD88/CD40-expressing Autologous PSMA-specific Prostate Cancer Vaccine BPX-201,
VO_0003072,FluLaval Tetra,
VO_0015049,"0.5 ML Measles Virus Vaccine Live, Enders' attenuated Edmonston strain 2000 UNT/ML / Mumps Virus Vaccine Live, Jeryl Lynn Strain 25000 UNT/ML / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) 2000 UNT/ML Injection [M-M-R II]",804186
VO_0003878,Flublok 2013-2014 Formula,1442206
VO_0005341,VB10.2210,
VO_0005504,vaccine for pathogen,
VO_0006046,rabies vaccine unspecified formulation,
VO_0005150,rMV-S + rMV-N vaccine,
VO_0004017,Influenza virus HA protein vaccine (Influenza A virus (A/Yamagata/120/1986(H1N1))),
VO_0003583,Fluzone 2015-2016 vaccine Injectable Suspension,1658706
VO_0004628,A2-CPA-CPB(-CTE)-recombinant L. tarentolae,
VO_0007136,Pexastimogene-devacirepvec Vaccine,
VO_0015069,Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797633
VO_0006085,typhoid vaccine unspecified formulation,
VO_0011564,N. caninum NcMAG1 Protein Subunit Vaccine,
VO_0001769,Equine Influenza Killed Virus Vaccine (USDA: 1505.10),
VO_0002128,"Encephalomyelitis-West Nile Virus Eastern & Western & Venezuelan, Killed Virus Vaccine (USDA: 14W5.23)",
VO_0006071,SARS-COV-2 COVID-19 Protein Subunit Non-US Vaccine Product (Jiangsu Province Centers for Disease Control and Prevention),
VO_0002338,bovine rhinotracheitis-parainfluenza 3 vaccine,
VO_0002035,Avian Encephalomyelitis-Fowl Pox Live Virus Vaccine (USDA: 10M1.13),
VO_0004588,REV DNA vaccine VP22/gag and VP22/env,
VO_0003498,Influenza A (H1N1) Virus Vaccine,
VO_0003208,"Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML",1300187
VO_0003458,"1 ML Hepatitis A Vaccine, Inactivated 50 UNT/ML Injection [Vaqta]",1658102
VO_0011456,C. muridarum PmpE/F-2 protein vaccine,
VO_0010746,Varilrix,
VO_0002159,"Newcastle-Bronchitis B1 Type, B1 Strain, Mass & Conn Types, Live Virus Vaccine (USDA: 1762.1H)",
VO_0002844,Francisella tularensis galU mutant vaccine,
VO_0000977,enterohemorrhagic E. coli vaccine,
VO_0007265,Anti-idiotypic Monoclonal Antibody BEC2 Vaccine,
VO_0005484,breast cancer vaccine,
VO_0001681,Fowl Pox Live Virus Vaccine (USDA: 1621.14),
VO_0000069,M-M-R II,
VO_0001552,Feline Panleukopenia Modified Live Virus Vaccine (USDA: 1561.20),
VO_0007210,Adenovirus-PSA Prostate Cancer Vaccine,
VO_0003073,Fluzone Quadrivalent,
VO_0015050,"Measles Virus Vaccine Live, Enders' attenuated Edmonston strain / Mumps Virus Vaccine Live, Jeryl Lynn Strain / Rubella Virus Vaccine Live (Wistar RA 27-3 Strain) Injection [M-M-R II]",1658025
VO_0003882,Flublok 2014-2015 Formula,1537517
VO_0005344,COVIDITY,
VO_0011553,Rabies DNA Vaccine encoding Rabies virus Glycoprotein,
VO_0005151,SARS-CoV Baculovirus S protein Vaccine,
VO_0004018,Influenza virus HA protein vaccine (Influenza A virus (A/Fukuoka/C29/85(H3N2))),
VO_0003674,PedvaxHIB vaccine 0.5 ML Injection,798451
VO_0007087,Tergenpumatucel-L Vaccine,
VO_0011350,L. infantum H1 protein vaccine,
VO_0007138,Retroviral Vector MFGS-MOv18-gamma Vaccine,
VO_0015070,Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine,797635
VO_0001484,Caprine herpesvirus 1 vaccine,
VO_0002867,Salmonella Typhimurium asd mutant vaccine,
VO_0011565,N. caninum NcDG2 Protein Subunit Vaccine,
VO_0001886,Bovine Rhinotracheitis-Parainfluenza 3 Modified Live Virus Vaccine (USDA: 1121.00),
VO_0001770,Equine Influenza Killed Virus Vaccine (USDA: 1505.20),
VO_0002130,Equine Rhinopneumonitis-Influenza Killed Virus Vaccine (USDA: 1515.24),
