RXCUI,STR,TTY
1657592,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Tenivac]",SBDF
1657594,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",SCD
1657595,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Tenivac]",SBD
1657596,"diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Decavac]",SBDF
1657598,"diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Decavac]",SBD
1657603,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.005 UNT/ML / Bordetella pertussis toxoid vaccine, inactivated 0.016 MG/ML / diphtheria toxoid vaccine, inactivated 5 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML [Boostrix]",SBDC
1657642,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML Injection,SCD
1657643,Neisseria meningitidis serogroup A oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.02 MG/ML / Neisseria meningitidis serogroup C oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup W-135 oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML / Neisseria meningitidis serogroup Y oligosaccharide diphtheria CRM197 protein conjugate vaccine 0.01 MG/ML Injection [Menveo],SBD
1657653,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.04 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.04 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",SCD
1657654,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML Injection,SCD
1657655,Neisseria meningitidis serogroup A capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup C capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup W-135 capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML / Neisseria meningitidis serogroup Y capsular polysaccharide diphtheria toxoid protein conjugate vaccine 0.104 MG/ML Injection [Menactra],SBD
1657656,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.04 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.04 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Quadracel]",SBD
1657669,hepatitis A vaccine (inactivated) strain HM175 / hepatitis B surface antigen vaccine Injection,SCDF
1657671,hepatitis A vaccine (inactivated) strain HM175 / hepatitis B surface antigen vaccine Injection [Twinrix],SBDF
1657673,hepatitis A vaccine (inactivated) strain HM175 720 UNT/ML / hepatitis B surface antigen vaccine 0.02 MG/ML Injection,SCD
1657674,hepatitis A vaccine (inactivated) strain HM175 720 UNT/ML / hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Twinrix],SBD
1657681,hepatitis B surface antigen vaccine Injection,SCDF
1657683,hepatitis B surface antigen vaccine Injection [Recombivax],SBDF
1657685,hepatitis B surface antigen vaccine 0.04 MG/ML Injection,SCD
1657686,hepatitis B surface antigen vaccine 0.04 MG/ML Injection [Recombivax],SBD
1657693,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine / hepatitis B surface antigen vaccine Injection,SCDF
1657695,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine / hepatitis B surface antigen vaccine Injection [COMVAX],SBDF
1657697,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML / hepatitis B surface antigen vaccine 0.01 MG/ML Injection,SCD
1657698,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML / hepatitis B surface antigen vaccine 0.01 MG/ML Injection [COMVAX],SBD
1657731,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine Injection,SCDF
1657733,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine Injection [PedvaxHIB],SBDF
1657735,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML Injection,SCD
1657736,Haemophilus influenzae b (Ross strain) capsular polysaccharide meningococcal protein conjugate vaccine 0.265 MG/ML Injection [PedvaxHIB],SBD
1657738,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group Y Injection",SCDF
1657740,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group Y Injection [MenHibrix]",SBDF
1657742,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.005 MG/ML / meningococcal group C polysaccharide 0.01 MG/ML / meningococcal polysaccharide vaccine group Y 0.01 MG/ML Injection",SCD
1657743,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.005 MG/ML / meningococcal group C polysaccharide 0.01 MG/ML / meningococcal polysaccharide vaccine group Y 0.01 MG/ML Injection [MenHibrix]",SBD
1657757,"acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection",SCD
1657758,"acellular pertussis vaccine, inactivated 96 UNT/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 68 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Pentacel]",SBD
1657767,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Adacel]",SBDF
1657769,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",SCD
1657771,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.005 MG/ML / diphtheria toxoid vaccine, inactivated 4 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Adacel]",SBD
1657844,0.5 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML Prefilled Syringe,SCD
1657845,influenza A virus (H1N1) antigen / influenza A virus (H3N2) antigen / influenza B virus antigen Prefilled Syringe [FluLaval Quadrivalent 2015-2016],SBDF
1657846,0.5 ML influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML Prefilled Syringe [FluLaval Quadrivalent 2015-2016],SBD
1657847,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML Prefilled Syringe,SCD
1657848,influenza A virus A/California/7/2009 (H1N1) antigen 0.03 MG/ML / influenza A virus A/Switzerland/9715293/2013 (H3N2) antigen 0.03 MG/ML / influenza B virus B/Brisbane/60/2008 antigen 0.03 MG/ML / influenza B virus B/Phuket/3073/2013 antigen 0.03 MG/ML Prefilled Syringe [FluLaval Quadrivalent 2015-2016],SBD
1657871,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Daptacel]",SBDF
1657873,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection",SCD
1657874,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.01 MG/ML / Bordetella pertussis fimbriae 2/3 vaccine, inactivated 0.01 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.006 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.02 MG/ML / diphtheria toxoid vaccine, inactivated 30 UNT/ML / tetanus toxoid vaccine, inactivated 10 UNT/ML Injection [Daptacel]",SBD
1657878,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / tetanus toxoid vaccine, inactivated Injection [Infanrix]",SBDF
1657880,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection",SCD
1657881,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Infanrix]",SBD
1657886,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML [Kinrix]",SBDC
1657887,"acellular pertussis vaccine, inactivated / diphtheria toxoid vaccine, inactivated / poliovirus vaccine inactivated, type 1 (Mahoney) / poliovirus vaccine inactivated, type 2 (MEF-1) / poliovirus vaccine inactivated, type 3 (Saukett) / tetanus toxoid vaccine, inactivated Injection [Kinrix]",SBDF
1657889,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection",SCD
1657890,"Bordetella pertussis filamentous hemagglutinin vaccine, inactivated 0.05 MG/ML / Bordetella pertussis pertactin vaccine, inactivated 0.016 MG/ML / Bordetella pertussis toxoid vaccine, inactivated 0.05 MG/ML / diphtheria toxoid vaccine, inactivated 50 UNT/ML / poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML / tetanus toxoid vaccine, inactivated 20 UNT/ML Injection [Kinrix]",SBD
1657893,"L1 protein, human papillomavirus type 11 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 16 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 18 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 6 vaccine 0.04 MG/ML Injection",SCD
1657894,"L1 protein, human papillomavirus type 11 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 16 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 18 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 6 vaccine 0.04 MG/ML Injection [Gardasil]",SBD
1657897,"L1 protein, human papillomavirus type 11 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 16 vaccine 0.12 MG/ML / L1 protein, human papillomavirus type 18 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 31 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 33 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 45 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 52 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 58 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 6 vaccine 0.06 MG/ML Injection",SCD
1657898,"L1 protein, human papillomavirus type 11 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 16 vaccine 0.12 MG/ML / L1 protein, human papillomavirus type 18 vaccine 0.08 MG/ML / L1 protein, human papillomavirus type 31 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 33 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 45 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 52 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 58 vaccine 0.04 MG/ML / L1 protein, human papillomavirus type 6 vaccine 0.06 MG/ML Injection [Gardasil 9]",SBD
1657998,"measles virus vaccine live, Enders' attenuated Edmonston strain / mumps virus vaccine live, Jeryl Lynn strain / rubella virus vaccine live (Wistar RA 27-3 strain) / varicella-zoster virus vaccine live (Oka-Merck) strain Injection",SCDF
1658000,"measles virus vaccine live, Enders' attenuated Edmonston strain / mumps virus vaccine live, Jeryl Lynn strain / rubella virus vaccine live (Wistar RA 27-3 strain) / varicella-zoster virus vaccine live (Oka-Merck) strain Injection [ProQuad]",SBDF
1658002,"measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML / mumps virus vaccine live, Jeryl Lynn strain 40000 UNT/ML / rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML / varicella-zoster virus vaccine live (Oka-Merck) strain 20000 UNT/ML Injection",SCD
1658003,"measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML / mumps virus vaccine live, Jeryl Lynn strain 40000 UNT/ML / rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML / varicella-zoster virus vaccine live (Oka-Merck) strain 20000 UNT/ML Injection [ProQuad]",SBD
1658006,varicella-zoster virus vaccine live (Oka-Merck) strain Injection,SCDF
1658008,varicella-zoster virus vaccine live (Oka-Merck) strain Injection [Varivax],SBDF
1658010,varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/ML Injection,SCD
1658011,varicella-zoster virus vaccine live (Oka-Merck) strain 2700 UNT/ML Injection [Varivax],SBD
1658013,varicella-zoster virus vaccine live (Oka-Merck) strain Injection [Zostavax],SBDF
1658015,varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML Injection,SCD
1658016,varicella-zoster virus vaccine live (Oka-Merck) strain 29800 UNT/ML Injection [Zostavax],SBD
1658023,"measles virus vaccine live, Enders' attenuated Edmonston strain / mumps virus vaccine live, Jeryl Lynn strain / rubella virus vaccine live (Wistar RA 27-3 strain) Injection",SCDF
1658025,"measles virus vaccine live, Enders' attenuated Edmonston strain / mumps virus vaccine live, Jeryl Lynn strain / rubella virus vaccine live (Wistar RA 27-3 strain) Injection [M-M-R II]",SBDF
1658027,"measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML / mumps virus vaccine live, Jeryl Lynn strain 25000 UNT/ML / rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML Injection",SCD
1658028,"measles virus vaccine live, Enders' attenuated Edmonston strain 2000 UNT/ML / mumps virus vaccine live, Jeryl Lynn strain 25000 UNT/ML / rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML Injection [M-M-R II]",SBD
1658029,rabies virus vaccine flury-lep strain Injection,SCDF
1658031,rabies virus vaccine flury-lep strain Injection [RabAvert],SBDF
1658033,rabies virus vaccine flury-lep strain 2.5 UNT/ML Injection,SCD
1658034,rabies virus vaccine flury-lep strain 2.5 UNT/ML Injection [RabAvert],SBD
1658035,"rabies virus vaccine wistar strain PM-1503-3M (human), inactivated Injection",SCDF
1658039,"rabies virus vaccine wistar strain PM-1503-3M (human), inactivated 2.5 UNT/ML Injection",SCD
1658040,"rabies virus vaccine wistar strain PM-1503-3M (human), inactivated 2.5 UNT/ML Injection [Imovax]",SBD
1658057,hepatitis A vaccine (inactivated) strain HM175 Injection,SCDF
1658058,1 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection,SCD
1658059,hepatitis A vaccine (inactivated) strain HM175 Injection [Havrix],SBDF
1658060,1 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection [Havrix],SBD
1658061,hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection,SCD
1658062,hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection [Havrix],SBD
1658065,0.5 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection,SCD
1658066,0.5 ML hepatitis A vaccine (inactivated) strain HM175 1440 UNT/ML Injection [Havrix],SBD
1658069,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injection",SCDF
1658071,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injection [Hiberix]",SBDF
1658073,"Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 MG/ML Injection",SCD
1658074,"Haemophilus influenzae type b strain 20752, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.07 MG/ML Injection [Hiberix]",SBD
1658093,"Haemophilus influenzae type b, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine Injection [ActHIB]",SBDF
1658095,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.068 MG/ML Injection",SCD
1658096,"Haemophilus influenzae type b strain 1482, capsular polysaccharide inactivated tetanus toxoid conjugate vaccine 0.068 MG/ML Injection [ActHIB]",SBD
1658100,"1 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection",SCD
1658102,"1 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection [Vaqta]",SBD
1658103,"hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection",SCD
1658104,"hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection [Vaqta]",SBD
1658105,"0.5 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection",SCD
1658106,"0.5 ML hepatitis A virus strain CR 326F antigen, inactivated 50 UNT/ML Injection [Vaqta]",SBD
1658142,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection,SCD
1658143,hepatitis B surface antigen vaccine Injection [Engerix-B],SBDF
1658144,0.5 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],SBD
1658145,hepatitis B surface antigen vaccine 0.02 MG/ML Injection,SCD
1658146,hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],SBD
1658149,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection,SCD
1658150,1 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],SBD
1658151,hepatitis B surface antigen vaccine 0.01 MG/ML Injection,SCD
1658152,hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],SBD
1658154,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection,SCD
1658155,0.5 ML hepatitis B surface antigen vaccine 0.01 MG/ML Injection [Recombivax],SBD
1658156,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection,SCD
1658157,1 ML hepatitis B surface antigen vaccine 0.02 MG/ML Injection [Engerix-B],SBD
1658225,meningococcal group A polysaccharide / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group W-135 / meningococcal polysaccharide vaccine group Y Injection,SCDF
1658226,0.5 ML meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injection,SCD
1658227,meningococcal group A polysaccharide / meningococcal group C polysaccharide / meningococcal polysaccharide vaccine group W-135 / meningococcal polysaccharide vaccine group Y Injection [Menomune A/C/Y/W-135],SBDF
1658228,0.5 ML meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injection [Menomune A/C/Y/W-135],SBD
1658229,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injection,SCD
1658230,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injection [Menomune A/C/Y/W-135],SBD
1658238,yellow fever virus strain 17D-204 live antigen Injection,SCDF
1658239,0.5 ML yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injection,SCD
1658240,yellow fever virus strain 17D-204 live antigen Injection [YF-Vax],SBDF
1658241,0.5 ML yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injection [YF-Vax],SBD
1658242,yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injection,SCD
1658243,yellow fever virus strain 17D-204 live antigen 4000 UNT/ML Injection [YF-Vax],SBD
1658471,Streptococcus pneumoniae type 1 capsular polysaccharide antigen / Streptococcus pneumoniae type 10A capsular polysaccharide antigen / Streptococcus pneumoniae type 11A capsular polysaccharide antigen / Streptococcus pneumoniae type 12F capsular polysaccharide antigen / Streptococcus pneumoniae type 14 capsular polysaccharide antigen / Streptococcus pneumoniae type 15B capsular polysaccharide antigen / Streptococcus pneumoniae type 17F capsular polysaccharide antigen / Streptococcus pneumoniae type 18C capsular polysaccharide antigen / Streptococcus pneumoniae type 19A capsular polysaccharide antigen / Streptococcus pneumoniae type 19F capsular polysaccharide antigen / Streptococcus pneumoniae type 2 capsular polysaccharide antigen / Streptococcus pneumoniae type 20 capsular polysaccharide antigen / Streptococcus pneumoniae type 22F capsular polysaccharide antigen / Streptococcus pneumoniae type 23F capsular polysaccharide antigen / Streptococcus pneumoniae type 3 capsular polysaccharide antigen / Streptococcus pneumoniae type 33F capsular polysaccharide antigen / Streptococcus pneumoniae type 4 capsular polysaccharide antigen / Streptococcus pneumoniae type 5 capsular polysaccharide antigen / Streptococcus pneumoniae type 6B capsular polysaccharide antigen / Streptococcus pneumoniae type 7F capsular polysaccharide antigen / Streptococcus pneumoniae type 8 capsular polysaccharide antigen / Streptococcus pneumoniae type 9N capsular polysaccharide antigen / Streptococcus pneumoniae type 9V capsular polysaccharide antigen Injection [Pneumovax 23],SBDF
1658472,0.5 ML Streptococcus pneumoniae type 1 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 10A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 11A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 12F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 14 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 15B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 17F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 18C capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19A capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 19F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 2 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 20 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 22F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 23F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 3 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 33F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 4 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 5 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 6B capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 7F capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 8 capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 9N capsular polysaccharide antigen 0.05 MG/ML / Streptococcus pneumoniae type 9V capsular polysaccharide antigen 0.05 MG/ML Injection [Pneumovax 23],SBD
